790363316: not in active state
790363360: not in active state
790363386, SAPID:1111111111, rc:0
790363386, SCODE:102555TR, rc:0
790363343: not in active state
790365412, SAPID:1111111111, rc:0
790365412, SCODE:102555TR, rc:0
790365415, SAPID:1111111111, rc:0
790365415, SCODE:102555TR, rc:0
790365434, SAPID:1111111111, rc:0
790365434, SCODE:102555TR, rc:0
790365440, SAPID:1111111111, rc:0
790365440, SCODE:102555TR, rc:0
790365442, SAPID:1111111111, rc:0
790365442, SCODE:102555TR, rc:0
790365445, SAPID:1111111111, rc:0
790365445, SCODE:102555TR, rc:0
790365459, SAPID:1111111111, rc:0
790365459, SCODE:102555TR, rc:0
790368162, SAPID:0, rc:0
790368162, SCODE:100322TP, rc:0
790365455, SAPID:1111111111, rc:0
790365455, SCODE:102555TR, rc:0
790365492, SAPID:1111111111, rc:0
790365492, SCODE:102555TR, rc:0
790365497, SAPID:1111111111, rc:0
790365497, SCODE:102555TR, rc:0
790365499, SAPID:1111111111, rc:0
790365499, SCODE:102555TR, rc:0
790365501, SAPID:1111111111, rc:0
790365501, SCODE:102555TR, rc:0
790365512, SAPID:1111111111, rc:0
790365512, SCODE:102555TR, rc:0
790365519, SAPID:1111111111, rc:0
790365519, SCODE:102555TR, rc:0
790367421, SAPID:1111111111, rc:0
790367421, SCODE:102555TR, rc:0
790367451, SAPID:1111111111, rc:0
790367451, SCODE:102555TR, rc:0
790367454, SAPID:1111111111, rc:0
790367454, SCODE:102555TR, rc:0
790367468, SAPID:1111111111, rc:0
790367468, SCODE:102555TR, rc:0
790367497, SAPID:1111111111, rc:0
790367497, SCODE:102555TR, rc:0
790367545, SAPID:1111111111, rc:0
790367545, SCODE:102555TR, rc:0
790367546, SAPID:1111111111, rc:0
790367546, SCODE:102555TR, rc:0
790365467, SAPID:1111111111, rc:0
790365467, SCODE:102555TR, rc:0
790365470, SAPID:1111111111, rc:0
790365470, SCODE:102555TR, rc:0
790365488, SAPID:1111111111, rc:0
790365488, SCODE:102555TR, rc:0
790365507, SAPID:1111111111, rc:0
790365507, SCODE:102555TR, rc:0
790365534, SAPID:1111111111, rc:0
790365534, SCODE:102555TR, rc:0
790365535, SAPID:1111111111, rc:0
790365535, SCODE:102555TR, rc:0
790367422, SAPID:1111111111, rc:0
790367422, SCODE:102555TR, rc:0
790367433, SAPID:1111111111, rc:0
790367433, SCODE:102555TR, rc:0
790367446, SAPID:1111111111, rc:0
790367446, SCODE:102555TR, rc:0
790367450, SAPID:1111111111, rc:0
790367450, SCODE:102555TR, rc:0
790367467, SAPID:1111111111, rc:0
790367467, SCODE:102555TR, rc:0
790367470, SAPID:1111111111, rc:0
790367470, SCODE:102555TR, rc:0
790367471, SAPID:1111111111, rc:0
790367471, SCODE:102555TR, rc:0
790367476, SAPID:1111111111, rc:0
790367476, SCODE:102555TR, rc:0
790367481, SAPID:1111111111, rc:0
790367481, SCODE:102555TR, rc:0
790367494, SAPID:1111111111, rc:0
790367494, SCODE:102555TR, rc:0
790367498, SAPID:1111111111, rc:0
790367498, SCODE:102555TR, rc:0
790367506, SAPID:1111111111, rc:0
790367506, SCODE:102555TR, rc:0
790367515, SAPID:1111111111, rc:0
790367515, SCODE:102555TR, rc:0
